Position,Track Name,Artist,Streams,URL,Country,Start Date,End Date
97,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,4571592,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,global,2016-12-23,2016-12-30
98,Sidewalks,The Weeknd,4570153,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,global,2016-12-23,2016-12-30
99,The Christmas Song (Merry Christmas To You),Nat King Cole,4534872,https://open.spotify.com/track/5humEOJehpAwMJEJmb0JJ2,global,2016-12-23,2016-12-30
100,X (feat. Future),21 Savage,4508475,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,global,2016-12-23,2016-12-30
101,Shaky Shaky,Daddy Yankee,4460038,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,global,2016-12-23,2016-12-30
102,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,4420554,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,global,2016-12-23,2016-12-30
103,Cake By The Ocean,DNCE,4408356,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,global,2016-12-23,2016-12-30
104,7 Years,Lukas Graham,4397591,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,global,2016-12-23,2016-12-30
105,Versace on the Floor,Bruno Mars,4396780,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,global,2016-12-23,2016-12-30
106,Sunset Lover,Petit Biscuit,4385053,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,global,2016-12-23,2016-12-30
107,Sneakin’,Drake,4283490,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,global,2016-12-23,2016-12-30
108,Six Feet Under,The Weeknd,4275228,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,global,2016-12-23,2016-12-30
109,No Heart,21 Savage,4257945,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,global,2016-12-23,2016-12-30
110,Fairytale of New York (feat. Kirsty MacColl),The Pogues,4245077,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,global,2016-12-23,2016-12-30
111,Hallelujah,Pentatonix,4164977,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx,global,2016-12-23,2016-12-30
112,Middle,DJ Snake,4147726,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,global,2016-12-23,2016-12-30
113,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,4145668,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,global,2016-12-23,2016-12-30
114,Capsize,FRENSHIP,4112369,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,global,2016-12-23,2016-12-30
115,Into You,Ariana Grande,4112003,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,global,2016-12-23,2016-12-30
116,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,4060819,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,global,2016-12-23,2016-12-30
117,Deu Onda,MC G15,4054555,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,global,2016-12-23,2016-12-30
118,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,4053683,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,global,2016-12-23,2016-12-30
119,Fresh Eyes,Andy Grammer,4008319,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,global,2016-12-23,2016-12-30
120,Neighbors,J. Cole,4005289,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,global,2016-12-23,2016-12-30
121,Redbone,Childish Gambino,3870641,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,global,2016-12-23,2016-12-30
122,I Got You,Bebe Rexha,3863605,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,global,2016-12-23,2016-12-30
123,Photograph,Ed Sheeran,3836919,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,global,2016-12-23,2016-12-30
124,Send My Love (To Your New Lover),Adele,3819479,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,global,2016-12-23,2016-12-30
125,OOOUUU,Young M.A,3813380,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL,global,2016-12-23,2016-12-30
126,"Me, Myself & I",G-Eazy,3812423,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,global,2016-12-23,2016-12-30
127,This Town,Niall Horan,3804828,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7,global,2016-12-23,2016-12-30
128,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,3804156,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,global,2016-12-23,2016-12-30
129,All Time Low,Jon Bellion,3787799,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,global,2016-12-23,2016-12-30
130,Fast Car,Jonas Blue,3783928,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,global,2016-12-23,2016-12-30
131,Immortal,J. Cole,3778441,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl,global,2016-12-23,2016-12-30
132,Reminder,The Weeknd,3766577,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,global,2016-12-23,2016-12-30
133,Dile Que Tu Me Quieres,Ozuna,3682124,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,global,2016-12-23,2016-12-30
134,Final Song,MØ,3658284,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,global,2016-12-23,2016-12-30
135,Lean On (feat. MØ & DJ Snake),Major Lazer,3631857,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,global,2016-12-23,2016-12-30
136,Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,3607798,https://open.spotify.com/track/4gavOCQdZ2g86gkvi17FM7,global,2016-12-23,2016-12-30
137,Sleigh Ride,Phil Spector,3593955,https://open.spotify.com/track/7wiESxCGoUkRdgZF2JOLZu,global,2016-12-23,2016-12-30
138,Run Rudolph Run - Single Version,Chuck Berry,3585299,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ,global,2016-12-23,2016-12-30
139,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,3556525,https://open.spotify.com/track/6IeK3Ap5m3HabwJxgI6eSE,global,2016-12-23,2016-12-30
140,A Holly Jolly Christmas - Single Version,Burl Ives,3545756,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe,global,2016-12-23,2016-12-30
141,Borro Cassette,Maluma,3542282,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,global,2016-12-23,2016-12-30
142,White Christmas (with Shania Twain),Michael Bublé,3512996,https://open.spotify.com/track/2gbCG4Rt9984UZ7Tc0dIFd,global,2016-12-23,2016-12-30
143,Lighthouse - Andrelli Remix,Hearts & Colors,3500923,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,global,2016-12-23,2016-12-30
144,Love on Me,Galantis,3475690,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF,global,2016-12-23,2016-12-30
145,Rockin’,The Weeknd,3466167,https://open.spotify.com/track/36YCdzT57us0LhDmCYtrNE,global,2016-12-23,2016-12-30
146,Weak,AJR,3465629,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,global,2016-12-23,2016-12-30
147,Dynamite (feat. Pretty Sister),Nause,3460528,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,global,2016-12-23,2016-12-30
148,Dancing On My Own,Calum Scott,3454666,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ,global,2016-12-23,2016-12-30
149,Stitches,Shawn Mendes,3434331,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,global,2016-12-23,2016-12-30
150,Thinking out Loud,Ed Sheeran,3414937,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,global,2016-12-23,2016-12-30
151,Hello,Adele,3402213,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,global,2016-12-23,2016-12-30
152,Step Into Christmas,Elton John,3392730,https://open.spotify.com/track/3YQUpKTmtgPJf8u6ooi9KA,global,2016-12-23,2016-12-30
153,Andas En Mi Cabeza,Chino & Nacho,3388786,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,global,2016-12-23,2016-12-30
154,Roses (feat. ROZES),The Chainsmokers,3373168,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,global,2016-12-23,2016-12-30
155,What Do You Mean?,Justin Bieber,3372990,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,global,2016-12-23,2016-12-30
156,Holly Jolly Christmas,Michael Bublé,3354418,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,global,2016-12-23,2016-12-30
157,Ain't My Fault,Zara Larsson,3315571,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ,global,2016-12-23,2016-12-30
158,Lush Life,Zara Larsson,3278059,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,global,2016-12-23,2016-12-30
159,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,3271383,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee,global,2016-12-23,2016-12-30
160,Sex,Cheat Codes,3264349,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP,global,2016-12-23,2016-12-30
161,Love On The Brain,Rihanna,3259649,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,global,2016-12-23,2016-12-30
162,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,3254640,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO,global,2016-12-23,2016-12-30
163,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,3249429,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,global,2016-12-23,2016-12-30
164,Careless Whisper,George Michael,3224559,https://open.spotify.com/track/2R7858bg0GHuBBxjTyOL7N,global,2016-12-23,2016-12-30
165,PILLOWTALK,ZAYN,3202717,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,global,2016-12-23,2016-12-30
166,Santa Claus Is Coming to Town,Michael Bublé,3194315,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7,global,2016-12-23,2016-12-30
167,pick up the phone,Young Thug,3161853,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,global,2016-12-23,2016-12-30
168,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,3153421,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,global,2016-12-23,2016-12-30
169,Have Yourself A Merry Little Christmas,Sam Smith,3152235,https://open.spotify.com/track/7Hz6LLOVxrojLPIHJJ1S0E,global,2016-12-23,2016-12-30
170,Wake Up Where You Are,State of Sound,3130502,https://open.spotify.com/track/2s76aKBWKShlwPC4xTtEEE,global,2016-12-23,2016-12-30
171,Carol of the Bells,Mykola Dmytrovych Leontovych,3123441,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI,global,2016-12-23,2016-12-30
172,That's What I Like,Bruno Mars,3118035,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,global,2016-12-23,2016-12-30
173,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,3094942,https://open.spotify.com/track/4qBejt9FeqLI9blHI1Nq1x,global,2016-12-23,2016-12-30
174,Hotline Bling,Drake,3088142,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6,global,2016-12-23,2016-12-30
175,No Money,Galantis,3085962,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd,global,2016-12-23,2016-12-30
176,Mary's Boy Child / Oh My Lord,Boney M.,3052833,https://open.spotify.com/track/6YnzBV7YkaXZNCK3tlnCfg,global,2016-12-23,2016-12-30
177,You Was Right,Lil Uzi Vert,3052662,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,global,2016-12-23,2016-12-30
178,Vacaciones,Wisin,3051423,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,global,2016-12-23,2016-12-30
179,Die For You,The Weeknd,3045375,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,global,2016-12-23,2016-12-30
180,The Hills,The Weeknd,3039017,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,global,2016-12-23,2016-12-30
181,Miss You,James Hersey,3028820,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje,global,2016-12-23,2016-12-30
182,Jumpman,Drake,3019544,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,global,2016-12-23,2016-12-30
183,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,3005489,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,global,2016-12-23,2016-12-30
184,Light,San Holo,3004050,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn,global,2016-12-23,2016-12-30
185,My Only Wish (This Year),Britney Spears,2982674,https://open.spotify.com/track/7aiVBCp1ibIWE5GeHkbtxr,global,2016-12-23,2016-12-30
