id;original_song_name;original_artists_name;song_name;artists_names
3igV5Dn4BMj6XO8ChrIgfq;is anybody home?;james morrison;Is Anybody Home?;['E.G. Daily']
1gWyfdndP9uUPRdKnTsJxx;burns like summer sun;james morrison;LA Love;['Transviolet']
1crcdQWEZIuBVxsmlcXnrj;il tempo migliore;gianni morandi;Il Tempo Migliore;['Gianni Morandi']
5BsJy4UDoQXqdgcyWqWQw2;i call it love;lionel richie;I Call It Love;['Lionel Richie']
2mV4xg3mvO5aXPLMoD7WrR;call on me;nelly feat. janet jackson;You Never Even Called Me by My Name;['David Allan Coe']
5zQ1Wq6HNYjGZWkVv5P8Eg;breaking free;gabriela;"Breaking Free - From ""High School Musical""/Soundtrack Version";['Troy', 'Gabriella Montez']
0cezJ0ZDfOTCCrVhVgcl3Z;kiss me;robbie williams;Merry Kissmas - Bonus Track;['Robbie Williams']
4LwrgltRSrddxeyhIPSoqa;start of something new;troy;"Start of Something New - From ""High School Musical""/Soundtrack Version";['Troy', 'Gabriella Montez']
0x7i1EB5EyFbqWRWiItLFs;gabriel;lamb;Gabriel;['Lamb']
0gxm45qEmq5rxXW5E7G5C7;get'cha head in the game;troy;Get’cha Head In The Game (In The Style Of High School Musical – The Movie);['Karaoke - Ameritz']
;ti spiegheró, se vorrai;mattia donna;ti spiegheró, se vorrai;mattia donna
4EtmvZveSK85irMkd48M69;cambierà;neffa;Cambierà;['Neffa']
2xmBzpzzQggeVwj6PTQdud;we're all in this together;high school musical cast;We’re All In This Together;['Snog']
4rzaPfWO07Cs1PIyXecjB2;american land;bruce springsteen;American Land;['Bruce Springsteen']
5aNagthlHAudbDZozQMjYP;stick to the status quo;high school musical cast;"Stick to the Status Quo - From ""High School Musical""/Soundtrack Version";['High School Musical Cast']
3i4UHU7IhT39vHUhKZ9c31;occhi;zucchero;Occhi;['Zucchero']
1XE7OaHlEsDP0YD1xV21lQ;justify me;nate james;Justify Me;['Nate James']
5tQKprSOVVvADqldAJVYzI;runaway;jamiroquai;Runaway - Remastered;['Jamiroquai']
1CAO7hiNOxJRPW4nFv2aRO;come to me;p. diddy;Mama Told Me (Not To Come) - Single Version;['Three Dog Night']
5sNESr6pQfIhL3krM8CtZn;numb/encore;jay-z/linkin park;Numb / Encore;['JAY-Z', 'Linkin Park']
4XRGwyAARL21fesc6BvliF;nothing in this world;paris hilton;Nothing in This World;['Paris Hilton']
5RgFlk1fcClZd0Y4SGYhqH;she's always a woman;billy joel;She's Always a Woman;['Billy Joel']
5lKUaq6OKRE6kHK9JsORCg;u + ur hand;pink;U + Ur Hand - Bimbo Jones Remix;['P!nk', 'Lee Dagger', 'Marc JB']
67JUFs5QKnKljkaTWOS0K4;cosa vuoi che sia;ligabue;Cosa vuoi che sia;['Ligabue']
1qZbqQ2MWpPTXxiA19WSNt;io canto;laura pausini;Io canto - Radio Edit;['Laura Pausini']
0aKVHsigYWwYdxWyQGmxRK;la vita perfetta;rio;La vita perfetta;['Adriano Lanzi & Omar Sodano']
0uLMAdoeOc0Q3bztUU0tD0;this is not real love;george michael feat. mutya;This Is Not Real Love (feat. Mutya) - Remastered 2006;['George Michael', 'Mutya']
64j076HxzNCNvhQr5yUDIw;yo canto;laura pausini;Yo canto;['Laura Pausini']
5hmRhU6fWzH0NjYmfhHjhp;jump;madonna;Jump;['Madonna']
5NK8jad728pj6YeqM5VJD4;angels;smokie & maggie reilly;She Talks To Angels;['The Black Crowes']
6mFkJmJqdDVQ1REhVfGgd1;wish you were here;pink floyd;Wish You Were Here;['Pink Floyd']
08LdA1mmlXexbcBjsZqrxJ;se provi a volare;luca dirisio;Se provi a volare;['Dayana Vagnini']
584gdbulaiceL7JHuC4jax;lovelight;robbie williams;Lovelight - Soulwax Ravelight Vocal;['Robbie Williams']
2aibwv5hGXSgw7Yru8IYTO;snow (hey oh);red hot chili peppers;Snow (Hey Oh);['Red Hot Chili Peppers']
6xM8oBy40nK1rOd8WmoOPx;last request;paolo nutini;Last Request;['Paolo Nutini']
0ExHsVw1nm1W3V3Bpw8HLM;doo be doo;freshly ground;Doo Be Doo;['Freshlyground']
1HRnrcwpRTIh0eaTWZ9r01;diamante;francesco de gregori;Diamante;['Francesco De Gregori']
1lGwaoY5JKnVmq5Rl4DY3f;primo appuntamento;gigi d'alessio;Primo appuntamento;"[""Gigi D'Alessio""]"
2CnjGx5gzPykIRqNpEqZit;crystal ball;keane;Crystal Ball - Sprint Music Series;['Keane']
60UJqxsc6OEPW5av8nm76Z;the saints are coming;u2 & green day;The Saints Are Coming;['Skids']
6gDXbcILAyBa2skSdbUYq7;hurt;christina aguilera;Hurt;['Christina Aguilera']
3MHhtZMZKZYCM1ZmxKh8Xe;se;le vibrazioni;Se;['Le Vibrazioni']
5p9uH9p1pOHhtRt7uG7wFt;cinque minuti e poi;claudio baglioni;Cinque Minuti E Poi;['Jerry Calà']
6GskIhdM6TN6EkPgeSjVfW;fidelity;regina spektor;Fidelity;['Regina Spektor']
0XU7bJxE8WqKVWNZRol3vw;libertango;astor piazzolla;Libertango;['Astor Piazzolla', 'Yo-Yo Ma', 'Jorge Calandrelli']
1vMuSYlp2Im8Gpj6JxRJfj;my love;justin timberlake;Medley: Let Me Talk to You / My Love (feat. T.I.);['Justin Timberlake', 'T.I.']
4iKL1bsRIAHmumEgOAV13U;it's your time;planet funk;It's Your Time;['Planet Funk']
4UoZQcNZ9ABoiVow2CQlqt;this is what you are;mario biondi & the high five quartet;This Is The Sound;['The Juliana Hatfield Three']
4O1xKPHOH7iXlzMNUDuxHS;illegal;shakira;Illegal (feat. Carlos Santana);['Shakira', 'Carlos Santana']
2SvXqxiG2ntfkEWvuABT7u;il mio canto libero;laura pausini;Il mio canto libero;['Lucio Battisti']
2VoCD4r68jgR14ArX1cXES;it's probably me;sting;It's Probably Me - Live At Villa Manin, Cudriopo, Italy/1993;['Sting']
6wQ4kl8DeGP8h9Bum1g5dD;gli ostacoli del cuore;elisa & ligabue;Gli Ostacoli Del Cuore;['Elisa and Ligabue, Base Karaoke + Choirs']
6Fpx01AIqWKchEQ5M0s7a0;lacrima;barbara;Una Lacrima Sul Viso;['Bobby Solo']
0v0EZLRftWKqvFfwurjw02;patience;take that;Patience;['Take That']
0d8Ddmpe4VQZx6zhpcZv65;instabile;nek;Instabile - Instrumental;['Nek']
2UrKJhqbvos2UAOu4w2Bbl;non me lo so spiegare (duet  with tiziano ferro);laura pausini;Non me lo so spiegare (with Tiziano Ferro);['Laura Pausini', 'Tiziano Ferro']
26x2sr0j6JjIGN9ho5WZ4I;non mi lasciare qui;sergio cammariere;Non mi lasciare qui;['Sergio Cammariere']
1G7DcLzPnopdZjLkev0K4e;irreplaceable;beyoncé;Irreplaceable;['Beyoncé']
0iYSjNoHqjtdPJIUuyM0x0;come il sole all'improvviso;laura pausini;Come il sole all'improvviso (with Johnny Hallyday);['Laura Pausini', 'Johnny Hallyday']
